doc_id,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
101,1541,1341,0.8945188591284591,2.1569292902239163,0.0,0.9175308273664915,13.399871498632933,0.0,0.0038775510204081634,239,6.594387755102041,6.637755102040816,0.966764631374141,5.596938775510204,7.551020408163265,36,71,6,65
102,1228,935,0.8746657029350692,2.943787240081801,0.0,0.9072234375990943,19.93281381082226,0.0,0.06848484848484848,140,9.883116883116884,9.772727272727273,2.833696848192163,6.848484848484849,13.303030303030303,0,2,2,22
103,1141,959,0.8879562322851475,2.487023614982271,0.0,0.9192553677966756,15.024970677257768,0.0,0.015294117647058824,137,9.992647058823529,9.965686274509803,1.3267363759494297,8.637254901960784,11.392156862745098,5,10,2,8
115,1619,1059,0.7859839388545499,3.5410893307353937,0.0,0.834371180351772,29.394727573758097,0.0,0.15210144927536232,106,17.364958592132506,15.771739130434783,7.407603297242654,10.347826086956522,28.58695652173913,2,16,0,21
116,1017,827,0.9051770300703316,2.5951625323245175,0.0,0.9204573647851664,19.10496024865745,0.0,0.038227848101265824,112,10.234177215189874,10.183544303797468,2.620851668279811,7.594936708860759,12.924050632911392,4,31,1,18
117,993,818,0.9080534620810038,3.058847525138621,0.0,0.9189741679079504,24.73803626523393,0.0,0.049,122,9.840833333333334,9.358333333333333,3.3814689589452995,6.483333333333333,13.95,0,18,4,31
118,2030,1600,0.8782463656578445,2.404244010559406,0.0,0.893904874456103,14.105466335530474,0.0,0.020705882352941175,268,9.134117647058824,8.891176470588235,1.6733083853086528,7.452941176470588,11.394117647058824,19,16,4,23
197,1509,1035,0.8605215933326646,3.8700279075170614,0.0,0.8990098265337153,36.99311380923158,0.0,0.20421052631578948,100,16.085735171261486,15.302631578947368,5.7734298045251515,10.18421052631579,25.236842105263158,2,24,1,9
198,1845,1198,0.8320231779761104,3.91290659753244,0.0,0.8831101221314993,31.37391623319673,0.0,0.25277777777777777,99,17.91111111111111,16.5,8.402835043343767,9.595238095238095,29.833333333333332,0,12,0,16
199,732,578,0.9110307953765977,2.4926344038689803,0.0,0.9364342818335811,16.571304814383762,0.0,0.024736842105263158,77,11.359649122807017,11.228070175438596,1.9868294147239323,9.175438596491228,13.631578947368421,0,0,0,14
200,1837,1184,0.7483263097604718,5.025151937306663,0.0,0.8314823265933712,43.8798123742018,0.0,0.38222222222222224,87,25.56446208112875,24.074074074074073,11.956215120253088,13.0,43.22222222222222,4,3,0,30
201,1630,1263,0.8812988380575357,3.0674509125352296,0.0,0.9038013203613353,23.76536345809083,0.0,0.08873417721518988,116,16.384599156118142,15.860759493670885,3.75866147918227,12.683544303797468,21.0,5,13,3,37
202,1542,1373,0.9322131282761634,2.4083843301329266,0.0,0.9363953787347725,20.0495413782411,0.0,0.0,198,9.905450733752621,9.726415094339623,1.1662882437665236,8.79245283018868,11.226415094339623,5,9,0,32
203,1287,968,0.8787583154172814,3.947021763252147,0.0,0.910170941748941,40.482328809519494,0.0,0.21140350877192982,85,16.432894736842105,15.197368421052632,5.708462574573235,11.078947368421053,25.210526315789473,2,5,0,17
204,1267,988,0.8926362900417915,2.7772690965347313,0.0,0.936810622770862,22.970010951713814,0.0,0.06831168831168831,132,10.14134199134199,10.0,2.2585367738227538,7.545454545454546,12.96103896103896,0,0,0,25
205,969,802,0.9259703728256959,2.3298143948194014,0.0,0.9384882156604403,17.433419350451842,0.0,0.021894736842105265,119,9.453508771929824,9.347368421052632,1.3251714550371012,8.126315789473685,10.926315789473684,0,7,0,19
206,1050,859,0.9007908933683559,2.115076998366002,0.0,0.9311175375386702,10.14835059983252,0.0,0.023709677419354837,193,6.4897849462365595,6.30241935483871,1.4048048795928398,5.056451612903226,8.28225806451613,0,25,0,35
207,759,623,0.9129001784972252,2.6518418669934065,0.0,0.9299810485722081,20.620395465584554,0.0,0.027857142857142858,83,9.78422619047619,9.9375,1.6157235170509747,7.928571428571429,11.446428571428571,0,0,6,13
211,1225,952,0.8505107556759548,2.5437608340714877,0.0,0.8828366531250835,15.62895117110174,0.0,0.024731182795698924,125,12.181899641577061,12.086021505376344,2.303308205575778,9.89247311827957,14.580645161290322,0,5,2,23
212,1120,930,0.9017021640792983,2.9153652288265524,0.0,0.9204309237932943,24.622524878843247,0.0,0.053513513513513515,139,8.576801801801802,8.358108108108109,2.5732950219989568,5.8108108108108105,11.72972972972973,0,3,1,23
213,745,640,0.8688113963996479,2.411997833298827,0.0,0.9016416691962174,17.959037378347933,0.0,0.0096,108,8.284444444444444,8.246666666666666,1.2953673714173772,6.8933333333333335,9.76,0,0,0,28
214,1386,1016,0.8489941055932972,2.8225004195415626,0.0,0.8990340706149436,17.777321354175804,0.0,0.08571428571428572,79,15.807142857142857,15.807142857142857,1.3214285714285714,14.485714285714286,17.12857142857143,0,215,0,3
216,1743,1485,0.9066909169995646,2.4400773305099026,0.0,0.9357878599761414,19.295332507679174,0.0,0.030709677419354837,230,9.69768817204301,9.46774193548387,2.1982133146728957,7.535483870967742,12.4,0,3,1,54
217,704,455,0.6732287055080478,6.454757812810245,0.0,0.7957330197052558,58.53683235053655,0.0,0.6519047619047619,21,42.9404761904762,44.714285714285715,13.380862304685818,27.142857142857142,56.0,0,1,0,6
218,988,677,0.8318672588256849,3.2408245140413636,0.0,0.8740736962316991,31.963493106697157,0.0,0.18055555555555555,47,19.544444444444444,17.816666666666666,7.654173737665484,12.233333333333333,28.9,0,29,0,11
