age,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
1,745,595,0.8828133346322242,2.829668192989371,0.0,0.9033691150494576,21.840321271824884,0.0,0.06733333333333334,73,10.886666666666667,10.4,2.3902815094449994,8.6,14.2,0,2,1,13
2,69511,51345,0.8685719152248642,2.9585990689682258,0.0,0.900706627034885,23.32742084870428,0.0,0.08729450956817954,5871,12.75114324442548,12.289600240456869,3.2379036538458625,9.464983468590322,16.934174932371505,97,917,41,1101
3,10948,8178,0.8811682169883491,2.80048344850427,0.0,0.9025789830032377,21.726529391110553,0.0,0.060490533562822725,974,11.417641571722557,11.104130808950085,2.6698702077699434,8.662650602409638,14.944922547332187,46,104,11,210
