university,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
Universidad de Sevilla,3165,2279,0.8213622472949018,3.706978944658324,0.0,0.8587095734837173,35.687108270893006,0.0,0.17322695035460994,186,18.742375886524822,18.20744680851064,5.83956929124148,12.872340425531915,26.20212765957447,6,12,0,30
Universita degli Studi di Palermo,18166,13183,0.8545517224259243,3.1835048468021916,0.0,0.8877917304004176,25.53654641552361,0.0,0.11011369863013698,1416,13.874792175100394,13.284931506849315,3.576090031982576,10.234246575342466,18.623287671232877,26,230,8,196
Univerza v Ljubljani,39325,28867,0.870688183920944,3.021530897871047,0.0,0.9029583160214052,24.708077634958855,0.0,0.09822993389990557,3066,13.46838679262192,12.96742209631728,3.482941647110743,9.91388101983003,17.97167138810198,56,469,25,739
Vrije Universiteit Brussel,20548,15789,0.8824256912351117,2.633620572593042,0.0,0.9084844989513305,18.775830726252156,0.0,0.04293377321603128,2250,10.179266141671606,9.904692082111437,2.290619846854916,7.867302052785924,13.111436950146627,55,312,20,359
